Categoria,Nombre,Vendedor,Precio,URL
Electrodomésticos,Cafetera Prensa Francesa 350ml En Vidrio Borosilicato,No especificado,29900,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=LD8jtLUp6IxH%2FaA5X4%2FS2z%2BPGPM3m8G%2BC9K5MCt%2Fy6Z71bYmghU7e%2Fi2Nr8jdsHyuHptfn1DG7FmqxKqPmmtHsR3eWUSUleIFd%2BHoDQHE%2FTWyk1UGtZuGAiYL2H12DXTe2NrqS23%2FYr2hjzyz%2FY6dWwcdiGfie7pKfxTuQo%2FBTbdzWKIB2wvNgKQ3lJUOuwIKroRte%2BO7%2B1YAiMU5s2K2vr4ystSZwDk61TAEdUyNSlo02Mmwhi1MBuvhCZ84wsMVmTiMzekuo09TqtafMRkdQlhsRcz0uv4B8COywYxZLHzgs5JKJz97wVgfbuyPo%2FCpu5B2vsOfBFcoYbQTfnPJG4XUPHJ2d3ho9sBZBvr%2BwJ1tkHODVAuVlA8pNGSb%2BudqhIIXLx4eE2FFhAr3V8vQZLhBwtCdRwoMKH%2FQX2hhJoNuD5SSbGXvZNWqYbPWUx8bwFr%2B6%2BIm6ehrE7BmMMuVvuGGUdfQbQxJW54dL%2BXbBjlFkdUETVVVmcps6zrIjvgqVa1salXstelGBcf%2BBg0BqDd0LDIrO6Qt1En2IeMSNi2jJdCfCEB7tj4pStuWWcERYMJYTCsEb7q69tGtqJ1gXTtCXD6qIewb9VCMbEcATRQ2VyogfhV%2BBAM0uDpyjgvI9dbJ640OixdfOU%2FMcffaI983lFC6TB94c%2FBeG67UQBAsV4DZDlNwGwEg%2FoUapY4i8XvwdLpY6ZP3Akw6YW7zRjJ3whhT8ZP9E8dqFmXa%2FoQ1ZCEi5nzvVIKXF9CE9y7q1W7E2x4UgZnZdkwJQm3dFfRIhyd6l7Kxke5Mc%2B49qYkkibCtEWHPr1H1QU0Vk0N%2FaK7uEJwWcm%2FuTDvIa4IYONNA2S5%2FXH977CzFwQFO6Dn%2B%2F16&searchVariation=81502072857#polycard_client=search-nordic&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6
Electrodomésticos,Bolsas Para Aspiradora Karcher Wd1 - 5 Unidades,No especificado,59990,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=sWURFoNzwCTF6gz%2BGXrf6%2FPGFu60ejf0TVJH9PdiB2c2ts6dCZX5JRwsCCCxWavuxTlLITRXIEe9dvdOdwBeA5ZwwNf%2FkDKaf9%2BV%2BQhz2a37aircFW67IAOxxpSkWvvINEfrdEiLipafyKTqPAsMhQkTQ%2FovoK0Djk85Uvpp5MhTsnizF8%2B9gO5SO8cUo2k%2BflNYOrFhTQvlMZw9k5p0CaCDGEfywq9iYSj9Gm4%2B7PCJGVsYsRBbuELOdbFR%2Fn7kzDySy%2FNz080IIgOilKYxrJ%2BATcTYs2Brk6Gqk3tiiOr%2BXVaYovRD4t84nNUvLH%2FrODICI1XBDJV6ftiRP92WvGA2BweEgrPWFlqFELxtr6IutCfyyxin2y7jRfoKRvru7PbNAr3sc%2BsPSxHdoWNPqtLfSccNjZqoeqDEXLcYQd9PwLIHCbYOsSd%2BwugR%2FHmEr%2BQYahOIbWfX2Ertc86BaciSmYFUCIsYqwbLwU3oPweUDw6QD6IWl%2Bs1aA0m2%2BALSq17E%2BnmbyHuFmfYXpDpOHg8jxOCnBX49FrIHI%2FKX1XLIYS8ifp3DYFrMAKezNBA6brJxTqtecK0%2BAZcsrTktffrl2F49ZiRb6RyqBMzwbFlul3qgpcg%2FWCZx737%2BnGx67BQzBt9sZZe7EFRJIUrAycg86miKqlxxRdk7aWEpM4v%2BYQMSgbtnp5o6pNhSgryl6bBwN4kUc7v8t%2F9c8xwPTpvBkFSeOWe2807Z7%2BIMzLRmyr8TnWgAsQN%2BR6M0p9n1kXZ1r%2F1OXiT#polycard_client=search-nordic&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO619585505&sid=search
Electrodomésticos,Licuadora Imusa Infiny Force 10 1.75 L gris con vaso de vidrio 120V,Por Imusa Home & Cook,260900,https://www.mercadolibre.com.co/licuadora-imusa-infiny-force-10-175-l-gris-con-vaso-de-vidrio-120v/p/MCO19150270#polycard_client=search-nordic&searchVariation=MCO19150270&position=4&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO918534262&sid=search
Electrodomésticos,"Licuadora Imusa Ultraforce + 2v, 1000w, Vidrio, 2.2l",Por Imusa Home & Cook,349900,https://www.mercadolibre.com.co/licuadora-imusa-ultraforce-2v-1000w-vidrio-22l/p/MCO41657082#polycard_client=search-nordic&searchVariation=MCO41657082&position=5&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2808028778&sid=search
Electrodomésticos,Licuadora Oster Xpert Series BLST3A-R2G 2 L roja con vaso de vidrio 110V,Por Oster,669900,https://www.mercadolibre.com.co/licuadora-oster-xpert-series-blst3a-r2g-2-l-roja-con-vaso-de-vidrio-110v/p/MCO19491279#polycard_client=search-nordic&searchVariation=MCO19491279&position=6&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1553546877&sid=search
Electrodomésticos,Licuadora Profesional 1000 W Ninja Bl610 Negra Color Negro/Plata 110V,Por SHARK NINJA,599900,https://www.mercadolibre.com.co/licuadora-profesional-1000-w-ninja-bl610-negra-color-negroplata-110v/p/MCO9439194#polycard_client=search-nordic&searchVariation=MCO9439194&position=7&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO886733445&sid=search
Electrodomésticos,Licuadora Para Batidos Ninja Detect Duo Tb301 Color Negro 110V,Por SHARK NINJA,899900,https://www.mercadolibre.com.co/licuadora-para-batidos-ninja-detect-duo-tb301-color-negro-110v/p/MCO36641734#polycard_client=search-nordic&searchVariation=MCO36641734&position=8&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2589183222&sid=search
Electrodomésticos,Licuadora Oster Xpert Series Roja Con Vaso Personal Rpg,Por Oster,859900,https://www.mercadolibre.com.co/licuadora-oster-xpert-series-roja-con-vaso-personal-rpg/p/MCO19919853#polycard_client=search-nordic&searchVariation=MCO19919853&position=9&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1105575665&sid=search
Electrodomésticos,Licuadora Profesional Ninja Con Procesador De 8 Tazas Bn801 Color Negro/Acero inoxidable 110V,Por SHARK NINJA,1199900,https://www.mercadolibre.com.co/licuadora-profesional-ninja-con-procesador-de-8-tazas-bn801-color-negroacero-inoxidable-110v/p/MCO19460457#polycard_client=search-nordic&searchVariation=MCO19460457&position=10&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1436129989&sid=search
Electrodomésticos,Licuadora Black+Decker Durapro BLBD210G 1.25 L negra con vaso de vidrio 110V,No especificado,136300,https://www.mercadolibre.com.co/licuadora-blackdecker-durapro-blbd210g-125-l-negra-con-vaso-de-vidrio-110v/p/MCO19170687#polycard_client=search-nordic&searchVariation=MCO19170687&position=11&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1168672171&sid=search
